office,district,candidate,party,precinct,votes,absentee_votes
U.S. Senate,,John F. Reed*,D,Bristol 0201,102,54
U.S. Senate,,John F. Reed*,D,Bristol 0202,117,57
U.S. Senate,,John F. Reed*,D,Bristol 0203,424,254
U.S. Senate,,John F. Reed*,D,Bristol 0204,198,103
U.S. Senate,,John F. Reed*,D,Bristol 0205,155,54
U.S. Senate,,John F. Reed*,D,Bristol 0206,155,60
U.S. Senate,,John F. Reed*,D,Bristol 0207,183,113
U.S. Senate,,John F. Reed*,D,Bristol 0208,141,81
U.S. Senate,,John F. Reed*,D,Bristol 0209,23,7
U.S. Senate,,John F. Reed*,D,Burrillville 0301,180,97
U.S. Senate,,John F. Reed*,D,Burrillville 0303,279,161
U.S. Senate,,John F. Reed*,D,Burrillville 0306,81,45
U.S. Senate,,John F. Reed*,D,Burrillville Limited,0,0
U.S. Senate,,John F. Reed*,D,Central Falls 0401,190,45
U.S. Senate,,John F. Reed*,D,Central Falls 0402,79,16
U.S. Senate,,John F. Reed*,D,Central Falls 0403,251,122
U.S. Senate,,John F. Reed*,D,Central Falls 0404,210,82
U.S. Senate,,John F. Reed*,D,Central Falls 0405,85,37
U.S. Senate,,John F. Reed*,D,Central Falls 0406,127,47
U.S. Senate,,John F. Reed*,D,Central Falls 0407,49,9
U.S. Senate,,John F. Reed*,D,Central Falls 0408,176,50
U.S. Senate,,John F. Reed*,D,Charlestown 0501,150,65
U.S. Senate,,John F. Reed*,D,Charlestown 0502,141,70
U.S. Senate,,John F. Reed*,D,Charlestown 0503,145,73
U.S. Senate,,John F. Reed*,D,Charlestown 0504,124,62
U.S. Senate,,John F. Reed*,D,Charlestown Limited,0,0
U.S. Senate,,John F. Reed*,D,Coventry 0601,77,26
U.S. Senate,,John F. Reed*,D,Coventry 0602,22,5
U.S. Senate,,John F. Reed*,D,Coventry 0603,131,65
U.S. Senate,,John F. Reed*,D,Coventry 0604,143,58
U.S. Senate,,John F. Reed*,D,Coventry 0605,68,27
U.S. Senate,,John F. Reed*,D,Coventry 0606,280,122
U.S. Senate,,John F. Reed*,D,Coventry 0609,101,38
U.S. Senate,,John F. Reed*,D,Coventry 0610,62,28
U.S. Senate,,John F. Reed*,D,Coventry 0611,95,45
U.S. Senate,,John F. Reed*,D,Coventry 0613,144,76
U.S. Senate,,John F. Reed*,D,Coventry 0615,273,150
U.S. Senate,,John F. Reed*,D,Coventry 0617,75,38
U.S. Senate,,John F. Reed*,D,Coventry 0618,37,25
U.S. Senate,,John F. Reed*,D,Coventry Limited,0,0
U.S. Senate,,John F. Reed*,D,Cranston 0701,228,105
U.S. Senate,,John F. Reed*,D,Cranston 0702,171,52
U.S. Senate,,John F. Reed*,D,Cranston 0703,156,93
U.S. Senate,,John F. Reed*,D,Cranston 0704,58,26
U.S. Senate,,John F. Reed*,D,Cranston 0705,54,19
U.S. Senate,,John F. Reed*,D,Cranston 0706,217,94
U.S. Senate,,John F. Reed*,D,Cranston 0707,210,113
U.S. Senate,,John F. Reed*,D,Cranston 0708,295,152
U.S. Senate,,John F. Reed*,D,Cranston 0709,277,137
U.S. Senate,,John F. Reed*,D,Cranston 0710,371,171
U.S. Senate,,John F. Reed*,D,Cranston 0711,246,113
U.S. Senate,,John F. Reed*,D,Cranston 0712,319,174
U.S. Senate,,John F. Reed*,D,Cranston 0713,296,158
U.S. Senate,,John F. Reed*,D,Cranston 0714,65,30
U.S. Senate,,John F. Reed*,D,Cranston 0715,234,101
U.S. Senate,,John F. Reed*,D,Cranston 0716,190,100
U.S. Senate,,John F. Reed*,D,Cranston 0717,122,61
U.S. Senate,,John F. Reed*,D,Cranston 0718,124,51
U.S. Senate,,John F. Reed*,D,Cranston 0719,208,115
U.S. Senate,,John F. Reed*,D,Cranston 0720,91,39
U.S. Senate,,John F. Reed*,D,Cranston 0721,326,142
U.S. Senate,,John F. Reed*,D,Cranston 0722,131,49
U.S. Senate,,John F. Reed*,D,Cranston 0723,613,264
U.S. Senate,,John F. Reed*,D,Cranston 0724,577,300
U.S. Senate,,John F. Reed*,D,Cranston 0725,503,235
U.S. Senate,,John F. Reed*,D,Cranston 0726,212,89
U.S. Senate,,John F. Reed*,D,Cranston 0727,318,162
U.S. Senate,,John F. Reed*,D,Cranston 0728,3,3
U.S. Senate,,John F. Reed*,D,Cranston 0730,258,112
U.S. Senate,,John F. Reed*,D,Cranston 0731,247,109
U.S. Senate,,John F. Reed*,D,Cranston Limited,0,0
U.S. Senate,,John F. Reed*,D,Cumberland 0801,143,61
U.S. Senate,,John F. Reed*,D,Cumberland 0802,269,112
U.S. Senate,,John F. Reed*,D,Cumberland 0803,174,97
U.S. Senate,,John F. Reed*,D,Cumberland 0804,34,18
U.S. Senate,,John F. Reed*,D,Cumberland 0809,66,41
U.S. Senate,,John F. Reed*,D,Cumberland 0812,190,102
U.S. Senate,,John F. Reed*,D,East Greenwich 0901,55,25
U.S. Senate,,John F. Reed*,D,East Greenwich 0903,443,226
U.S. Senate,,John F. Reed*,D,East Greenwich 0905,361,213
U.S. Senate,,John F. Reed*,D,East Greenwich Limited,0,0
U.S. Senate,,John F. Reed*,D,East Providence 1003,81,27
U.S. Senate,,John F. Reed*,D,East Providence 1005,647,349
U.S. Senate,,John F. Reed*,D,East Providence 1006,14,7
U.S. Senate,,John F. Reed*,D,East Providence 1007,21,6
U.S. Senate,,John F. Reed*,D,East Providence 1009,626,311
U.S. Senate,,John F. Reed*,D,East Providence 1010,370,203
U.S. Senate,,John F. Reed*,D,East Providence 1012,150,55
U.S. Senate,,John F. Reed*,D,East Providence 1013,502,249
U.S. Senate,,John F. Reed*,D,East Providence 1016,158,79
U.S. Senate,,John F. Reed*,D,Exeter 1101,99,52
U.S. Senate,,John F. Reed*,D,Exeter 1103,212,125
U.S. Senate,,John F. Reed*,D,Exeter Limited,0,0
U.S. Senate,,John F. Reed*,D,Foster 1201,195,119
U.S. Senate,,John F. Reed*,D,Foster Limited,0,0
U.S. Senate,,John F. Reed*,D,Glocester 1301,276,152
U.S. Senate,,John F. Reed*,D,Glocester 1303,36,21
U.S. Senate,,John F. Reed*,D,Glocester 1304,95,54
U.S. Senate,,John F. Reed*,D,Glocester Limited,0,0
U.S. Senate,,John F. Reed*,D,Hopkinton 1401,254,125
U.S. Senate,,John F. Reed*,D,Hopkinton 1402,173,94
U.S. Senate,,John F. Reed*,D,Hopkinton 1403,59,36
U.S. Senate,,John F. Reed*,D,Hopkinton Limited,0,0
U.S. Senate,,John F. Reed*,D,Jamestown 1501,1155,752
U.S. Senate,,John F. Reed*,D,Johnston 1601,194,105
U.S. Senate,,John F. Reed*,D,Johnston 1603,287,138
U.S. Senate,,John F. Reed*,D,Johnston 1604,135,52
U.S. Senate,,John F. Reed*,D,Johnston 1605,101,41
U.S. Senate,,John F. Reed*,D,Johnston 1606,59,26
U.S. Senate,,John F. Reed*,D,Johnston 1607,68,41
U.S. Senate,,John F. Reed*,D,Johnston 1608,184,66
U.S. Senate,,John F. Reed*,D,Johnston 1609,192,97
U.S. Senate,,John F. Reed*,D,Johnston 1610,426,197
U.S. Senate,,John F. Reed*,D,Johnston 1611,200,94
U.S. Senate,,John F. Reed*,D,Johnston 1612,158,72
U.S. Senate,,John F. Reed*,D,Johnston 1613,123,54
U.S. Senate,,John F. Reed*,D,Johnston Limited,0,0
U.S. Senate,,John F. Reed*,D,Little Compton 1801,497,222
U.S. Senate,,John F. Reed*,D,Middletown 1902,482,260
U.S. Senate,,John F. Reed*,D,Middletown 1904,524,344
U.S. Senate,,John F. Reed*,D,Narragansett 2001,66,33
U.S. Senate,,John F. Reed*,D,Narragansett 2002,494,277
U.S. Senate,,John F. Reed*,D,Narragansett 2003,423,236
U.S. Senate,,John F. Reed*,D,Narragansett 2004,516,300
U.S. Senate,,John F. Reed*,D,Narragansett 2005,403,250
U.S. Senate,,John F. Reed*,D,Narragansett Limited,0,0
U.S. Senate,,John F. Reed*,D,New Shoreham 2201,199,86
U.S. Senate,,John F. Reed*,D,New Shoreham Limited,0,0
U.S. Senate,,John F. Reed*,D,North Kingstown 2301,202,115
U.S. Senate,,John F. Reed*,D,North Kingstown 2304,889,480
U.S. Senate,,John F. Reed*,D,North Kingstown 2306,293,162
U.S. Senate,,John F. Reed*,D,North Kingstown 2309,1366,796
U.S. Senate,,John F. Reed*,D,North Kingstown Limited,0,0
U.S. Senate,,John F. Reed*,D,North Providence 2401,213,69
U.S. Senate,,John F. Reed*,D,North Providence 2403,388,169
U.S. Senate,,John F. Reed*,D,North Providence 2405,182,85
U.S. Senate,,John F. Reed*,D,North Providence 2407,413,124
U.S. Senate,,John F. Reed*,D,North Providence 2409,77,36
U.S. Senate,,John F. Reed*,D,North Providence 2410,240,107
U.S. Senate,,John F. Reed*,D,North Providence 2412,770,299
U.S. Senate,,John F. Reed*,D,North Providence 2414,121,39
U.S. Senate,,John F. Reed*,D,North Providence 2415,159,58
U.S. Senate,,John F. Reed*,D,North Providence 2416,366,156
U.S. Senate,,John F. Reed*,D,Pawtucket 2601,70,19
U.S. Senate,,John F. Reed*,D,Pawtucket 2602,142,37
U.S. Senate,,John F. Reed*,D,Pawtucket 2603,353,154
U.S. Senate,,John F. Reed*,D,Pawtucket 2604,185,89
U.S. Senate,,John F. Reed*,D,Pawtucket 2605,88,31
U.S. Senate,,John F. Reed*,D,Pawtucket 2606,91,38
U.S. Senate,,John F. Reed*,D,Pawtucket 2607,604,336
U.S. Senate,,John F. Reed*,D,Pawtucket 2608,501,313
U.S. Senate,,John F. Reed*,D,Pawtucket 2609,42,22
U.S. Senate,,John F. Reed*,D,Pawtucket 2610,25,9
U.S. Senate,,John F. Reed*,D,Pawtucket 2611,118,63
U.S. Senate,,John F. Reed*,D,Pawtucket 2612,168,76
U.S. Senate,,John F. Reed*,D,Pawtucket 2613,227,117
U.S. Senate,,John F. Reed*,D,Pawtucket 2614,168,68
U.S. Senate,,John F. Reed*,D,Pawtucket 2615,110,39
U.S. Senate,,John F. Reed*,D,Pawtucket 2616,45,21
U.S. Senate,,John F. Reed*,D,Pawtucket 2617,56,17
U.S. Senate,,John F. Reed*,D,Pawtucket 2618,503,227
U.S. Senate,,John F. Reed*,D,Pawtucket 2619,251,97
U.S. Senate,,John F. Reed*,D,Pawtucket 2620,422,196
U.S. Senate,,John F. Reed*,D,Pawtucket 2621,120,43
U.S. Senate,,John F. Reed*,D,Pawtucket 2622,76,33
U.S. Senate,,John F. Reed*,D,Pawtucket 2623,100,38
